GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InClassTest,ie.gmit,EmployeeList,3,42,2,2,2,10,2,4,0,4
InClassTest,ie.gmit,Employee,0,32,0,4,0,10,0,5,0,3
